,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%
def2PT[15],-0.005,0.063,0.001,0.004,-0.131,-0.046,-0.006,0.035,0.123
def2PT[16],-0.012,0.065,0.001,0.005,-0.135,-0.056,-0.014,0.031,0.118
def2PT[17],-0.002,0.063,0.001,0.005,-0.127,-0.044,-0.002,0.039,0.123
def2PT[18],-0.009,0.062,0.001,0.004,-0.145,-0.048,-0.01,0.032,0.113
def2PT[19],-0.021,0.063,0.001,0.004,-0.152,-0.059,-0.018,0.021,0.099
def2PT[20],0.023,0.062,0.001,0.004,-0.098,-0.019,0.023,0.064,0.146
def2PT[21],0.011,0.063,0.001,0.004,-0.119,-0.029,0.012,0.048,0.137
def2PT[22],0.004,0.06,0.001,0.004,-0.109,-0.034,0.002,0.042,0.13
def2PT[23],-0.017,0.061,0.001,0.004,-0.142,-0.057,-0.016,0.023,0.102
def2PT[24],0.009,0.06,0.001,0.004,-0.112,-0.029,0.008,0.05,0.124
def2PT[25],-0.013,0.062,0.001,0.004,-0.142,-0.052,-0.01,0.03,0.1
def2PT[26],0.01,0.062,0.001,0.004,-0.105,-0.032,0.01,0.052,0.132
def2PT[27],0,0.065,0.001,0.005,-0.131,-0.042,0.001,0.043,0.128
def2PT[28],0.004,0.063,0.001,0.004,-0.117,-0.038,0.002,0.045,0.131
def2PT[29],-0.004,0.061,0.001,0.004,-0.12,-0.045,-0.005,0.036,0.124
def2PT[30],0.001,0.062,0.001,0.004,-0.127,-0.036,0.001,0.041,0.117
home2PT,0.049,0.048,0.001,0.009,-0.066,0.019,0.05,0.081,0.135
c2PT,3.395,0.034,0.001,0.007,3.321,3.375,3.396,3.417,3.463
,,,,,,,,,
att3PT[1],0.0756,0.1162,0.0021,0.007,-0.148,0.0021,0.0773,0.151,0.3053
att3PT[2],-0.0143,0.1131,0.0021,0.0064,-0.25,-0.09,-0.0103,0.0632,0.1942
att3PT[3],-0.0488,0.1126,0.0021,0.006,-0.2789,-0.1235,-0.0445,0.0288,0.1643
