,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%,,,,,,,,,,,
def2PT[27],0.0078,0.0180,0.0003,0.0004,-0.0278,-0.0039,0.0080,0.0199,0.0433,,,,,,,,,,,
def2PT[28],0.0224,0.0184,0.0003,0.0004,-0.0132,0.0098,0.0226,0.0347,0.0585,,,,,,,,,,,
def2PT[29],-0.0031,0.0191,0.0003,0.0004,-0.0403,-0.0163,-0.0032,0.0096,0.0346,,,,,,,,,,,
def2PT[30],0.0037,0.0192,0.0004,0.0004,-0.0338,-0.0080,0.0036,0.0161,0.0424,,,,,,,,,,,
home2PT,0.0321,0.0071,0.0001,0.0003,0.0177,0.0275,0.0323,0.0369,0.0454,,,,,,,,,,,
c2PT,3.3969,0.0052,0.0001,0.0002,3.3869,3.3935,3.3967,3.4004,3.4078,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
att3PT[1],0.1053,0.0400,0.0007,0.0009,0.0248,0.0778,0.1053,0.1342,0.1791,,,,,,,,,,,
att3PT[2],0.0068,0.0427,0.0008,0.0010,-0.0763,-0.0224,0.0078,0.0374,0.0889,,,,,,,,,,,
att3PT[3],-0.0834,0.0431,0.0008,0.0010,-0.1711,-0.1109,-0.0829,-0.0553,0.0006,,,,,,,,,,,
att3PT[4],-0.0809,0.0435,0.0008,0.0010,-0.1677,-0.1084,-0.0803,-0.0516,0.0003,,,,,,,,,,,
att3PT[5],0.1977,0.0377,0.0007,0.0009,0.1216,0.1724,0.1982,0.2234,0.2708,,,,,,,,,,,
att3PT[6],0.0641,0.0405,0.0007,0.0009,-0.0163,0.0367,0.0648,0.0919,0.1427,,,,,,,,,,,
att3PT[7],0.0306,0.0426,0.0008,0.0010,-0.0539,0.0031,0.0303,0.0591,0.1147,,,,,,,,,,,
att3PT[8],-0.3383,0.0477,0.0009,0.0011,-0.4316,-0.3694,-0.3381,-0.3062,-0.2437,,,,,,,,,,,
att3PT[9],0.0313,0.0414,0.0008,0.0009,-0.0532,0.0040,0.0307,0.0595,0.1121,,,,,,,,,,,
att3PT[10],0.1414,0.0410,0.0007,0.0009,0.0593,0.1144,0.1416,0.1698,0.2211,,,,,,,,,,,
att3PT[11],0.2017,0.0389,0.0007,0.0009,0.1241,0.1759,0.2020,0.2286,0.2768,,,,,,,,,,,
